ID,Salary
3000,291000
3001,365000
3002,215000
3003,241000
3004,309000
3005,316000
3006,393000
3007,422000
3008,164000
3009,485000
3010,335000
3011,393000
3012,246000
3013,255000
3014,165000
3015,294000
3016,445000
3017,424000
3018,265000
3019,258000
3020,206000
3021,380000
3022,387000
3023,252000
3024,392000
3025,308000
3026,397000
3027,191000
3028,309000
3029,303000
3030,215000
3031,353000
3032,460000
3033,383000
3034,234000
3035,245000
3036,298000
3037,363000
3038,271000
3039,284000
3040,195000
3041,231000
3042,247000
3043,271000
3044,426000
3045,350000
3046,403000
3047,290000
3048,285000
3049,395000
3050,257000
3051,214000
3052,259000
3053,500000
3054,364000
3055,467000
3056,320000
3057,227000
3058,319000
3059,422000
3060,338000
3061,155000
3062,497000
3063,253000
3064,193000
3065,312000
3066,259000
3067,113000
3068,341000
3069,223000
3070,354000
3071,295000
3072,355000
3073,349000
3074,290000
3075,348000
3076,354000
3077,400000
3078,384000
3079,280000
3080,269000
3081,408000
3082,283000
3083,80000
3084,359000
3085,284000
3086,408000
3087,468000
3088,300000
3089,274000
3090,190000
3091,290000
3092,408000
3093,240000
3094,262000
3095,378000
3096,217000
3097,379000
3098,318000
3099,313000
3100,354000
3101,449000
3102,219000
3103,350000
3104,391000
3105,188000
3106,317000
3107,161000
3108,271000
3109,250000
3110,499000
3111,313000
3112,433000
3113,88000
3114,388000
3115,335000
3116,207000
3117,318000
3118,256000
3119,414000
3120,446000
3121,357000
3122,310000
3123,427000
3124,221000
3125,260000
3126,226000
3127,191000
3128,321000
3129,325000
3130,258000
3131,406000
3132,268000
3133,206000
3134,270000
3135,306000
3136,382000
3137,193000
3138,438000
3139,380000
3140,301000
3141,561000
3142,257000
3143,334000
3144,344000
3145,225000
3146,370000
3147,14000
3148,441000
3149,385000
3150,345000
3151,235000
3152,132000
3153,251000
3154,178000
3155,366000
3156,221000
3157,357000
3158,193000
3159,406000
3160,225000
3161,409000
3162,489000
3163,333000
3164,549000
3165,441000
3166,201000
3167,307000
3168,311000
3169,327000
3170,332000
3171,239000
3172,247000
3173,208000
3174,320000
3175,307000
3176,149000
3177,435000
3178,313000
3179,354000
3180,414000
3181,373000
3182,379000
3183,297000
3184,269000
3185,190000
3186,184000
3187,225000
3188,247000
3189,420000
3190,158000
3191,291000
3192,348000
3193,428000
3194,199000
3195,247000
3196,450000
3197,264000
3198,201000
3199,430000
3200,284000
3201,314000
3202,255000
3203,314000
3204,178000
3205,342000
3206,236000
3207,297000
3208,246000
3209,332000
3210,286000
3211,407000
3212,265000
3213,176000
3214,344000
3215,410000
3216,353000
3217,228000
3218,321000
3219,241000
3220,406000
3221,306000
3222,216000
3223,318000
3224,343000
3225,226000
3226,319000
3227,387000
3228,243000
3229,349000
3230,311000
3231,297000
3232,382000
3233,271000
3234,213000
3235,309000
3236,319000
3237,269000
3238,264000
3239,409000
3240,343000
3241,234000
3242,500000
3243,402000
3244,246000
3245,227000
3246,302000
3247,262000
3248,387000
3249,268000
3250,239000
3251,479000
3252,347000
3253,291000
3254,297000
3255,347000
3256,318000
3257,294000
3258,211000
3259,397000
3260,311000
3261,483000
3262,313000
3263,287000
3264,336000
3265,280000
3266,168000
3267,437000
3268,283000
3269,369000
3270,378000
3271,350000
3272,223000
3273,389000
3274,316000
3275,288000
3276,268000
3277,229000
3278,262000
3279,170000
3280,213000
3281,397000
3282,331000
3283,327000
3284,322000
3285,322000
3286,161000
3287,239000
3288,155000
3289,247000
3290,422000
3291,276000
3292,424000
3293,285000
3294,169000
3295,246000
3296,228000
3297,175000
3298,377000
3299,288000
3300,360000
3301,227000
3302,259000
3303,259000
3304,497000
3305,398000
3306,496000
3307,259000
3308,197000
3309,338000
3310,286000
3311,177000
3312,276000
3313,355000
3314,271000
3315,240000
3316,343000
3317,303000
3318,193000
3319,423000
3320,322000
3321,240000
3322,469000
3323,317000
3324,245000
3325,139000
3326,210000
3327,272000
3328,416000
3329,245000
3330,242000
3331,221000
3332,378000
3333,392000
3334,279000
3335,292000
3336,266000
3337,450000
3338,358000
3339,303000
3340,179000
3341,364000
3342,248000
3343,180000
3344,474000
3345,188000
3346,275000
3347,172000
3348,398000
3349,266000
3350,441000
3351,303000
3352,356000
3353,308000
3354,259000
3355,265000
3356,148000
3357,226000
3358,421000
3359,266000
3360,574000
3361,411000
3362,371000
3363,439000
3364,201000
3365,430000
3366,457000
3367,415000
3368,453000
3369,206000
3370,207000
3371,337000
3372,454000
3373,247000
3374,159000
3375,304000
3376,213000
3377,249000
3378,257000
3379,487000
3380,291000
3381,466000
3382,245000
3383,206000
3384,313000
3385,125000
3386,147000
3387,224000
3388,484000
3389,280000
3390,272000
3391,352000
3392,269000
3393,237000
3394,320000
3395,242000
3396,252000
3397,428000
3398,335000
3399,324000
3400,397000
3401,430000
3402,381000
3403,357000
3404,380000
3405,249000
3406,215000
3407,352000
3408,206000
3409,300000
3410,246000
3411,522000
3412,305000
3413,319000
3414,316000
3415,359000
3416,338000
3417,222000
3418,216000
3419,272000
3420,333000
3421,334000
3422,305000
3423,342000
3424,237000
3425,308000
3426,248000
3427,238000
3428,344000
3429,299000
3430,256000
3431,466000
3432,212000
3433,275000
3434,299000
3435,229000
3436,277000
3437,194000
3438,439000
3439,289000
3440,334000
3441,344000
3442,318000
3443,303000
3444,325000
3445,307000
3446,284000
3447,314000
3448,498000
3449,224000
3450,303000
3451,180000
3452,308000
3453,298000
3454,271000
3455,221000
3456,379000
3457,275000
3458,296000
3459,223000
3460,363000
3461,208000
3462,308000
3463,246000
3464,249000
3465,275000
3466,295000
3467,273000
3468,309000
3469,312000
3470,230000
3471,201000
3472,375000
3473,197000
3474,208000
3475,370000
3476,330000
3477,301000
3478,372000
3479,349000
3480,317000
3481,310000
3482,275000
3483,226000
3484,215000
3485,218000
3486,417000
3487,314000
3488,259000
3489,304000
3490,521000
3491,246000
3492,167000
3493,396000
3494,217000
3495,405000
3496,266000
3497,301000
3498,304000
3499,275000
3500,407000
3501,325000
3502,347000
3503,295000
3504,394000
3505,328000
3506,400000
3507,337000
3508,308000
3509,290000
3510,323000
3511,230000
3512,396000
3513,264000
3514,274000
3515,333000
3516,312000
3517,402000
3518,264000
3519,143000
3520,450000
3521,298000
3522,253000
3523,359000
3524,326000
3525,159000
3526,193000
3527,343000
3528,362000
3529,344000
3530,354000
3531,255000
3532,399000
3533,304000
3534,317000
3535,388000
3536,477000
3537,405000
3538,240000
3539,296000
3540,375000
3541,356000
3542,382000
3543,199000
3544,332000
3545,300000
3546,447000
3547,332000
3548,439000
3549,252000
3550,328000
3551,297000
3552,216000
3553,388000
3554,316000
3555,207000
3556,237000
3557,431000
3558,236000
3559,175000
3560,320000
3561,313000
3562,312000
3563,238000
3564,338000
3565,324000
3566,401000
3567,307000
3568,317000
3569,381000
3570,288000
3571,308000
3572,348000
3573,242000
3574,368000
3575,286000
3576,233000
3577,398000
3578,234000
3579,204000
3580,288000
3581,235000
3582,282000
3583,293000
3584,259000
3585,290000
3586,396000
3587,361000
3588,260000
3589,185000
3590,106000
3591,407000
3592,217000
3593,351000
3594,330000
3595,366000
3596,280000
3597,429000
3598,263000
3599,452000
3600,395000
3601,286000
3602,224000
3603,345000
3604,327000
3605,214000
3606,177000
3607,407000
3608,222000
3609,301000
3610,455000
3611,371000
3612,275000
3613,220000
3614,385000
3615,282000
3616,245000
3617,540000
3618,293000
3619,268000
3620,334000
3621,256000
3622,217000
3623,257000
3624,297000
3625,473000
3626,279000
3627,276000
3628,280000
3629,360000
3630,314000
3631,290000
3632,424000
3633,443000
3634,200000
3635,305000
3636,293000
3637,251000
3638,384000
3639,186000
3640,298000
3641,222000
3642,382000
3643,326000
3644,368000
3645,277000
3646,306000
3647,474000
3648,262000
3649,270000
3650,246000
3651,350000
3652,328000
3653,343000
3654,260000
3655,243000
3656,397000
3657,298000
3658,156000
3659,297000
3660,295000
3661,266000
3662,363000
3663,227000
3664,325000
3665,322000
3666,322000
3667,379000
3668,243000
3669,285000
3670,331000
3671,353000
3672,318000
3673,233000
3674,378000
3675,375000
3676,305000
3677,401000
3678,276000
3679,207000
3680,334000
3681,286000
3682,219000
3683,389000
3684,259000
3685,331000
3686,299000
3687,359000
3688,284000
3689,128000
3690,382000
3691,326000
3692,354000
3693,319000
3694,313000
3695,177000
3696,366000
3697,356000
3698,337000
3699,337000
3700,208000
3701,414000
3702,404000
3703,386000
3704,250000
3705,343000
3706,323000
3707,316000
3708,230000
3709,361000
3710,342000
3711,142000
3712,327000
3713,182000
3714,315000
3715,381000
3716,410000
3717,302000
3718,333000
3719,335000
3720,364000
3721,210000
3722,214000
3723,238000
3724,330000
3725,350000
3726,307000
3727,249000
3728,224000
3729,400000
3730,267000
3731,546000
3732,329000
3733,300000
3734,289000
3735,374000
3736,331000
3737,380000
3738,291000
3739,350000
3740,267000
3741,495000
3742,175000
3743,201000
3744,327000
3745,270000
3746,565000
3747,136000
3748,139000
3749,135000
3750,488000
3751,178000
3752,323000
3753,285000
3754,303000
3755,171000
3756,339000
3757,289000
3758,309000
3759,241000
3760,265000
3761,167000
3762,450000
3763,293000
3764,342000
3765,500000
3766,219000
3767,237000
3768,378000
3769,313000
3770,356000
3771,444000
3772,461000
3773,382000
3774,128000
3775,258000
3776,287000
3777,192000
3778,119000
3779,318000
3780,298000
3781,251000
3782,289000
3783,297000
3784,313000
3785,328000
3786,276000
3787,294000
3788,303000
3789,409000
3790,361000
3791,485000
3792,194000
3793,393000
3794,302000
3795,284000
3796,297000
3797,426000
3798,273000
3799,345000
3800,274000
3801,379000
3802,201000
3803,413000
3804,376000
3805,316000
3806,368000
3807,298000
3808,444000
3809,346000
3810,341000
3811,244000
3812,252000
3813,329000
3814,324000
3815,386000
3816,434000
3817,213000
3818,412000
3819,409000
3820,348000
3821,451000
3822,344000
3823,247000
3824,254000
3825,307000
3826,257000
3827,241000
3828,268000
3829,254000
3830,282000
3831,317000
3832,386000
3833,147000
3834,244000
3835,384000
3836,397000
3837,333000
3838,139000
3839,402000
3840,212000
3841,135000
3842,346000
3843,243000
3844,354000
3845,319000
3846,345000
3847,313000
3848,309000
3849,329000
3850,267000
3851,353000
3852,296000
3853,389000
3854,305000
3855,311000
3856,266000
3857,316000
3858,159000
3859,233000
3860,201000
3861,356000
3862,258000
3863,274000
3864,397000
3865,308000
3866,315000
3867,356000
3868,249000
3869,254000
3870,310000
3871,513000
3872,267000
3873,346000
3874,271000
3875,177000
3876,257000
3877,309000
3878,341000
3879,249000
3880,375000
3881,194000
3882,249000
3883,391000
